Date,Price,Open,High,Low,Vol,Change
05/17/2024,67024.0,65235.21,67451.2,65106.38,2.629.223.409,0
05/18/2024,66915.2,67024.0,67400.01,66600.0,1.444.125.774,0
05/19/2024,66274.01,66915.2,67700.0,65857.25,1.802.530.409,0
05/20/2024,71446.62,66274.0,71515.56,66060.31,508.167.011,0
05/21/2024,70148.34,71446.62,71979.0,69162.94,496.074.336,0
05/22/2024,69166.62,70148.34,70666.0,68842.19,2.767.318.026,0
05/23/2024,67969.65,69166.62,70096.12,66312.16,4.051.317.374,0
05/24/2024,68549.99,67969.66,69250.0,66600.12,2.809.583.664,0
05/25/2024,69290.57,68549.99,69610.0,68500.0,1.213.039.418,0
05/26/2024,68507.67,69290.56,69562.23,68128.01,1.187.211.797,0
05/27/2024,69436.43,68507.67,70687.56,68250.0,2.313.692.737,0
05/28/2024,68398.39,69436.43,69591.81,67277.91,3.262.297.042,0
05/29/2024,67652.42,68398.4,68935.68,67124.65,2.315.983.149,0
05/30/2024,68352.17,67652.41,69500.0,67128.0,284.782.184,0
05/31/2024,67540.01,68352.17,69044.1,66670.0,2.669.032.184,0
06/01/2024,67766.85,67540.01,67900.0,67428.44,883.766.133,0
06/02/2024,67765.63,67766.84,68460.0,67257.47,1.542.632.529,0
06/03/2024,68809.9,67765.62,70288.0,67612.48,29.633.374,0
06/04/2024,70537.84,68809.89,71063.45,68567.32,2.961.978.489,0
06/05/2024,71108.0,70537.83,71758.0,70383.66,2.870.318.082,0
06/06/2024,70799.06,71108.0,71700.0,70117.64,2.184.200.449,0
06/07/2024,69355.6,70799.06,71997.02,68420.0,3.559.845.045,0
06/08/2024,69310.46,69355.6,69582.2,69168.02,977.382.967,0
06/09/2024,69648.14,69310.46,69857.14,69130.24,989.056.709,0
06/10/2024,69540.0,69648.15,70195.94,69172.29,1.712.266.941,0
06/11/2024,67314.24,69540.0,69590.01,66051.0,4.143.601.588,0
06/12/2024,68263.99,67314.23,69999.0,66905.0,3.717.532.356,0
06/13/2024,66773.01,68263.98,68449.3,66251.78,2.907.955.571,0
06/14/2024,66043.99,66773.01,67370.24,65078.0,2.840.818.797,0
06/15/2024,66228.25,66043.99,66478.48,65857.1,1.145.180.242,0
06/16/2024,66676.87,66228.25,66998.7,66034.5,939.252.223,0
06/17/2024,66504.33,66676.86,67298.81,65130.0,2.738.616.851,0
06/18/2024,65175.32,66504.33,66588.23,64060.0,4.235.010.244,0
06/19/2024,64974.37,65175.32,65727.54,64666.0,2.006.079.576,0
06/20/2024,64869.99,64974.37,66482.94,64559.15,2.426.529.031,0
06/21/2024,64143.56,64869.99,65066.66,63379.35,2.599.356.442,0
06/22/2024,64262.01,64143.56,64546.81,63943.82,730.895.542,0
06/23/2024,63210.01,64262.01,64521.0,63178.32,822.445.447,0
06/24/2024,60293.3,63210.01,63369.8,58402.0,5.216.135.414,0
06/25/2024,61806.01,60293.3,62420.0,60257.06,3.118.924.361,0
06/26/2024,60864.99,61806.01,62487.81,60712.0,2.248.566.463,0
06/27/2024,61706.47,60864.98,62389.22,60606.63,1.834.428.631,0
06/28/2024,60427.84,61706.46,62225.31,60063.0,2.482.119.255,0
06/29/2024,60986.68,60427.84,61224.0,60383.77,1.150.955.904,0
06/30/2024,62772.01,60986.68,63058.76,60712.21,1.732.630.136,0
07/01/2024,62899.99,62772.01,63861.76,62497.2,2.454.710.538,0
07/02/2024,62135.47,62900.0,63288.83,61806.28,1.857.311.875,0
07/03/2024,60208.58,62135.46,62285.94,59400.0,3.216.011.127,0
07/04/2024,57050.01,60208.57,60498.19,56771.0,5.456.877.276,0
07/05/2024,56628.79,57050.02,57546.0,53485.93,8.134.824.756,0
07/06/2024,58230.13,56628.79,58475.0,56018.0,2.165.131.558,0
07/07/2024,55857.81,58230.13,58449.46,55724.37,1.911.893.918,0
07/08/2024,56714.62,55857.81,58236.73,54260.16,480.902.049,0
07/09/2024,58050.0,56714.61,58296.0,56289.45,2.773.220.788,0
07/10/2024,57725.85,58050.0,59470.0,57157.79,2.495.173.799,0
07/11/2024,57339.89,57725.85,59650.0,57050.0,2.976.105.735,0
07/12/2024,57889.1,57339.89,58526.68,56542.47,236.524.569,0
07/13/2024,59204.02,57889.09,59850.0,57756.63,1.535.774.519,0
07/14/2024,60797.91,59204.01,61420.69,59194.01,2.117.833.907,0
07/15/2024,64724.14,60797.91,64900.0,60632.3,386.909.782,0
07/16/2024,65043.99,64724.06,65388.97,62373.24,4.253.052.915,0
07/17/2024,64087.99,65044.0,66128.63,63854.0,2.956.752.954,0
07/18/2024,63987.92,64087.99,65133.3,63238.48,225.687.225,0
07/19/2024,66660.0,63987.92,67386.0,63300.67,3.563.472.739,0
07/20/2024,67139.96,66660.01,67598.0,66222.46,1.438.692.434,0
07/21/2024,68165.34,67139.97,68366.66,65777.0,2.181.911.191,0
07/22/2024,67532.01,68165.35,68474.55,66559.97,2.145.104.303,0
07/23/2024,65936.01,67532.0,67750.98,65441.08,3.140.615.316,0
07/24/2024,65376.0,65936.0,67102.01,65111.0,2.308.256.277,0
07/25/2024,65799.95,65376.01,66175.49,63456.7,3.512.642.934,0
07/26/2024,67907.99,65799.95,68200.0,65722.63,2.424.436.023,0
07/27/2024,67896.5,67908.0,69399.99,66650.0,3.171.021.921,0
07/28/2024,68249.88,67896.49,68318.43,67066.66,1.086.869.394,0
07/29/2024,66784.69,68249.88,70079.99,66428.0,3.646.729.633,0
